trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-182.75567141836075,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-53.99756595191583,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-183.49167520066786,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-171.0733748398582,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-156.3441075804354,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-47.12710759762709,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-77.82841763002983,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-71.9834504950033,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-72.04294627198732,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-77.38373490085218,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-101.96275189051055,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-55.14166631147519,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-20.68025745004951,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-129.57483385964187,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-78.39615615950727,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-85.68210081485786,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-33.78202140098296,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-29.055516569298945,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-20.833509657359723,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-79.78421238099887,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-11.019259842213508,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-29.204739921842307,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,14,-2.863647025691363,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-94.36317705848444,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-98.00735513367879,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-54.15235547564543,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-46.899308567263745,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,18.165422147137846,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,2,-62.876042010056985,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-103.15848161539162,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
