trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-112.81383794255974,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,5,-117.07095432638052,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-36.75633089050698,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-159.44617250351465,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-110.79660259156154,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-60.94077853464798,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-77.95704539676011,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-105.91698961474711,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-86.71905403507228,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,0,-189.0197623069072,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-55.16261608694836,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-186.31976046200256,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-34.41237432085876,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-110.30345918325412,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,9,-66.58471462761624,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-140.06190269255538,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",30,1,-125.85874431212568,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-105.49703334464508,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",35,11,-67.79781635547498,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-134.23780873333902,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-93.63259334784152,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-55.377739271753896,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",30,0,-167.1951509815257,"{0: 15, 1: 7, 2: 3, 3: 4, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,5,-81.93904482849875,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-149.5146799426823,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,3,-83.1073518378334,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-162.24638922765962,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",25,0,-61.05004476330541,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,0,-119.21835347544297,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-62.52970371044252,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,12,-50.53222733545704,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-68.82363687392964,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",30,0,-220.27959308508355,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,4,-36.90092799147348,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-81.1948325628757,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,0,-112.80187010671602,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",30,0,-142.66076778442348,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",30,0,-125.48854941755366,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,1.6098941861860725,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",35,0,-181.3990447021656,"{0: 23, 1: 3, 2: 4, 3: 2, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,5,-27.796489558607885,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,8,-52.215151640371154,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-12.329512543286912,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-54.11908675559948,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,6,-82.81421348960768,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 1}",1
