trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-132.9171889197485,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-140.58150163135602,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",30,0,-179.8187325205086,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-220.90175420656084,"{0: 11, 1: 0, 2: 7, 3: 6, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-51.695678621194084,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",30,0,-154.14566698973235,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-191.1130022165854,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-134.379532644948,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-202.64964435202802,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-69.39244603803384,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-97.2020515204042,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-210.10658366079386,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-166.68440146280918,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-92.18417415937655,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-151.96316585192895,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-91.20740318545502,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",30,0,-92.20036366568654,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-15.798518731047714,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-83.72181893844174,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-112.31662379753212,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-120.20356873152245,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-72.92890346837167,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-30.15866716373138,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,8,-27.927762240921297,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,2,-129.02938736222373,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-55.61446623734207,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-168.94029416762743,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",35,0,-204.7940589877066,"{0: 20, 1: 6, 2: 4, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-43.155136146055426,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-137.3656982961465,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",30,16,-57.94186503060401,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-93.92005438036487,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-124.74109133989276,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,0,-122.2234867151483,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",30,11,-43.31165354794607,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-107.88391930745938,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",30,0,-311.4677699112742,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 6}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-74.43485071447779,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",25,0,-82.12869129297198,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,-17.040282445687943,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",35,0,-92.0898510835354,"{0: 27, 1: 1, 2: 4, 3: 2, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-68.80351544530653,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-106.51451621242491,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,0,-81.11053742868783,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,0,-54.79606268954549,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,11,-4.727935697848234,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",30,0,-81.29373992689153,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-73.45545075274268,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",30,0,-64.4238888435978,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",25,20,11.462502391628119,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.598956006466161}",20,0,-38.948729490863435,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,3,-158.9972383087858,"{0: 9, 1: 1, 2: 9, 3: 2, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,0,-3.240461376143566,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-65.62048178973386,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,6,-7.932292315796881,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-83.50848650671499,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,0,-181.0137941353097,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-81.66918134721483,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,0,-13.38012032874324,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-165.64868828585185,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,13,10.285465999758731,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",35,15,3.2374330496663166,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",30,0,-33.3216877296097,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",30,0,-29.52815349001269,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",30,0,-121.17325842929829,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",30,18,-7.543611666911161,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-59.064960793201614,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",25,18,11.06158454727126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",30,12,-12.8437928352596,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,0,-128.85291127530164,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,0,-23.30923207464718,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,7,8.419787901220934,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
