trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-188.02942330614349,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-69.9333395028346,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-122.94632367969353,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-154.51859792386153,"{0: 12, 1: 3, 2: 0, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-72.77907252858377,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-139.83470449534153,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-180.1353291468619,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-34.45558503695089,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-59.73390465476989,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,5,-141.41469584861198,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-54.98800257099361,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-86.5685895352384,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-94.7112810459378,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,0,-150.4369168547824,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,15,-15.591376164239689,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,4,-72.83273070158934,"{0: 8, 1: 3, 2: 3, 3: 2, 4: 0}",1
