trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.26359606562634,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.42784903310331,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.85632400771006,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-9.641129326085185,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.97887184055273,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.82862986198072,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.86378453786796,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.67461263496205,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.5489772638293,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.53914376960685,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.17249613326516,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-204.9207041285754,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.78888624162506,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.79903295797757,"{0: 13, 1: 3, 2: 5, 3: 4, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.86503858803958,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-16.708737914865225,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.9682689986639,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.041332248870287,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.90693514513126,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.86943023626176,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.56513780391831,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.53639791004784,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.56639237351266,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-233.73669075643951,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.44501477266577,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-97.43525128539864,"{0: 20, 1: 6, 2: 1, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.08442473814674,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.9626917320002,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.52248542316937,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.04231013802266,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
